herb_soy_ia_original,herb_soy_comprod,year,predicted_herb_soy_ia,herb_tons_aiSoy
22840,50670,1997,23550.4,22840
27890,63450,1998,29898.94,27890
27590,60790,1999,28577.57,27590
32625,73302,2000,34792.98,32625
34095,74690,2001,35482.48,34095
36712,79697,2002,37969.74,36712
52631,103648,2003,49867.54,52631
63493,129603,2004,62760.84,63493
71219,142169,2005,69003.08,71219
68596,133289,2006,64591.89,68596
91108,168774,2007,82219.27,91108
89655,192042,2008,93777.8,89655
105095,226825,2009,111056.5,105095
,184772,2010,90166.38,90166.38